matchid;current_elo;enemy_elo;enemy_name;gained points;outcome
3453220;1393;1410;Psylem;+21;victory
3453218;1393;1395;Sir Gavvin;+0;draw
3453215;1373;1372;D-dagger;+20;victory
3453213;1354;1344;CallMeJB;+19;victory
3453210;1333;1348;Butanium;+21;victory
3453208;1313;1307;Ronald Raygun;+20;victory
3453204;1292;1308;DeepFry;+21;victory
3453199;1272;1276;=TAC= Gizmo2k;+20;victory
3453198;1252;1250;El_Cattivo_69;+20;victory
3453195;1272;1276;Dragontask;-20;defeat
3453189;1252;1252;Spargel;+20;victory
3453186;1273;1264;yakesun;-21;defeat
3453184;1253;1261;Shido151;+20;victory
3453182;1273;1273;abacaxi;-20;defeat
3453179;1292;1302;Chaoskai21;-19;defeat
3453177;1312;1310;BHalko;-20;defeat
3453173;1332;1331;redhook7;-20;defeat
3453169;1352;1358;JetFightzer;-20;defeat
3453164;1372;1370;Entu;-20;defeat
3453162;1393;1381;HumanCalc;-21;defeat
3453158;1372;1394;Nahcio;+21;victory
3453155;1352;1344;Arcanist;+20;victory
3453152;1372;1371;Pege;-20;defeat
3453146;1352;1347;REL42;+20;victory
3453144;1373;1360;I_mmortal;-21;defeat
3453140;1353;1345;kraftapparat;+20;victory
3453135;1333;1333;MeowKittyWow;+20;victory
3453130;1313;1312;HenryChess;+20;victory
3450968;1382;1337;matsukoro;+17;victory
3450967;1381;1428;AlanF5;+1;draw
3450966;1359;1396;Fire_skull;+22;victory
3450964;1339;1344;Yrael;+20;victory
3450963;1321;1280;Chrixs;+18;victory
3450962;1302;1283;Ugabuga;+19;victory
3450961;1322;1322;Vølvøx;-20;defeat
3450697;1323;1296;biyobiyu;-1;draw
3450695;1304;1290;GRMBL;+19;victory
3450681;1324;1320;ShotgunEnema;-20;defeat
3450680;1342;1376;Feyd;-18;defeat
3450678;1362;1359;Biffnix;-20;defeat
3450675;1383;1373;ageoctopus;-21;defeat
3450673;1364;1339;Captain Saicin;+19;victory
3450672;1344;1338;ROCK0;+20;victory
3450671;1326;1299;PsychoticBadgers;+18;victory
3450668;1344;1384;HenryChess;-18;defeat
3450664;1364;1370;Yendor Oklahoma;-20;defeat
3450662;1345;1335;HinaDairi;+19;victory
3450659;1367;1335;reilion;-22;defeat
3450654;1344;1388;Gilberreke;+23;victory
3450652;1325;1305;Prutton;+19;victory
3450651;1305;1313;xXMunchieXx;+20;victory
3450627;1325;1326;Sushibot;-20;defeat
3450626;1305;1311;Skiron1.0;+20;victory
3450622;1286;1277;magger;+19;victory
3450621;1266;1272;DarkCreature123;+20;victory
3450620;1245;1256;bmpol;+21;victory
3450617;1265;1265;Shido151;-20;defeat
3450616;1285;1290;Lionblaiz;-20;defeat
3450613;1305;1299;ViperX;-20;defeat
3450608;1324;1338;Sorad;-19;defeat
3450594;1342;1380;Netmark;-18;defeat
3450406;1361;1387;Vadis;-19;defeat
3450404;1342;1318;7ychnor;+19;victory
3450403;1363;1349;Dash Killington;-21;defeat
3450402;1343;1336;FlatFootFetish;+20;victory
3450401;1324;1301;Palmyra;+19;victory
3450395;1344;1341;Ruby_kuc;-20;defeat
3450393;1325;1315;Hauntedpebbles;+19;victory
3450392;1305;1306;Zrakygames;+20;victory
3450391;1305;1305;Tytalus;+0;draw
3450388;1325;1327;NerdyPup;-20;defeat
3450387;1305;1299;Sergey Assasin;+20;victory
3450386;1284;1297;FriedShrimpLS;+21;victory
3450378;1264;1258;MazeMaker;+20;victory
3305758;1283;1296;jupe;-19;defeat
3305755;1305;1265;polyethylene;-22;defeat
3305753;1288;1238;i3baba;+17;victory
3305750;1269;1244;stuvart771;+19;victory
3305747;1268;1309;L4Vo5;+1;draw
3305745;1290;1262;kasv;-22;defeat
3305742;1308;1338;yakesun;-18;defeat
3305738;1285;1329;NoWis9;+23;victory
3305731;1267;1227;gossan;+18;victory
3305726;1246;1272;=TAC= Gizmo2k;+21;victory
3305707;1267;1256;Ottack;-21;defeat
3305698;1289;1255;Crusher48;-22;defeat
3305695;1271;1230;Bruno Grimaldi;+18;victory
3305688;1291;1290;beetleberries;-20;defeat
3305681;1308;1355;yak18;-17;defeat
3305664;1291;1242;Papa_bull;+17;victory
3305629;1270;1289;Kalimshar;+21;victory
3305623;1292;1264;Arcanist;-22;defeat
3305621;1273;1259;IRRbertPC;+19;victory
3305616;1274;1231;HappyGingerWolf;-1;draw
3305609;1293;1303;gomobot;-19;defeat
3305603;1314;1296;NikkiNSane;-21;defeat
3305594;1295;1277;RallyChris;+19;victory
3305590;1278;1228;Silverhub;+17;victory
3305576;1298;1293;Anacre0n;-20;defeat
3305570;1316;1355;nnay29;-18;defeat
